Portal,Id,DateScraped,ArticleId,DateCreated,IpAddress,UserName,CommentText,InResponseToCommentId,Upvotes,DownVotes
Delfi,81575358,30/03/2014 12:17:05,64394892,29/03/2014 08:16:00,77.221.91.133,lietuvis,"Nu taip nusikalbet. Lygiai taip pat, kaip MY NAME IS LONDON",0,6,5
Delfi,81575424,30/03/2014 12:17:05,64394892,29/03/2014 08:20:00,86.100.132.156,"su 10 metų jubiliejumi NATO,LIETUVA","Džiaugiamės,didžiuojamės,su švente....",0,7,2
Delfi,81575444,30/03/2014 12:17:05,64394892,29/03/2014 08:20:00,86.100.132.156,to lietuvis,your name is dunduk...,0,6,0
Delfi,81575462,30/03/2014 12:17:05,64394892,29/03/2014 08:21:00,78.60.116.20,asd,nu ką .. šnd Viln gaus NATO naikintuvai .. Nelįskit iš trobų,0,5,4
Delfi,81575512,30/03/2014 12:17:05,64394892,29/03/2014 08:24:00,86.100.97.164,Vaizdas is virsaus,"aisku saugiau... Parodai Rusijai liezuvi, , pakaisioji spygas, ir pasislepi saugiai uz nato nugaros..",0,5,8
Delfi,81575618,30/03/2014 12:16:36,64399100,29/03/2014 08:29:00,82.145.220.117,Jonas,"Ech, kà padarysi, juk visko pasitaiko...",0,8,108
Delfi,81575648,30/03/2014 12:17:05,64394892,29/03/2014 08:29:00,88.222.118.50,alfa Kindziulis,"Saugiau bus tik tada, kai Lietuvoje bus įkurtos amerikiečių karinės bazės. Užpuolimo atveju vieniems laukti dvi, ar kiek savaičių pagalbos - nevykusi išeitis.",0,14,4
Delfi,81575788,30/03/2014 12:16:36,64399100,29/03/2014 08:37:00,213.226.168.250,Internaut,Tai lyg Utenoje ir vazineja visi normaliai.,0,38,10
Delfi,81575888,30/03/2014 12:17:05,64394892,29/03/2014 08:41:00,5.20.174.171,Veblenimas,"NATO sako, kad reikia įkurti aljanso bazes prie rytinių NATO sienų, o ministras Olekas kažką veblena, kad nereikia, girdi, dar nėra reikalo.... Kokia čia politika, ką ir bekalbėti. 
Nepasisekė mums. kad šiuo metu tokia koalicija valdžioje. Jie praleis progą, kas paneigs, kad čia tokia taktika
Būtų Kubilius su Juknevičiene, tai turėtume Lietuvoje ne tik NATO naikintuvus, bet ir sausumos pajėgas.",0,17,5
Delfi,81575924,30/03/2014 12:16:26,64399102,29/03/2014 08:42:00,178.16.38.126,Realistas,"Modernūs MANPADai teroristų rankose nepakeis situacijos, Sirijos armija laimės karą bet kokiu atveju. Jau senai teroristai ginkluojami NATO, Izraelio ir kt. moderniais ginklais, tas nei kiek jiems nepadėjo.

Iš kitos pusės, tie ginklai gali labai greitai atsisukti prieš jas davusias šalis, tiek dėl dalies teroristų neapykantos Vakarams, tiek dėl tų ginklų patekimo į juodąją rinką. Ką Obama pasakys, kai jų duoti MANPADai vėliau numuš Turkijos, Izraelio ar JAV lėktuvus? Ar tai bus panaudota kaip pretekstas užpulti dar kitas šalis &quot;kare su terorizmu&quot;?",0,47,5
Delfi,81575926,30/03/2014 12:16:36,64399100,29/03/2014 08:42:00,82.140.180.246,?,Tai kokia antra masina? Kur foto? Kas cia per straipsnis?,0,31,17
Delfi,81575944,30/03/2014 12:16:36,64399100,29/03/2014 08:43:00,78.60.254.2,netoli,"Audi bėgo nuo policijos, ir nukirto taxi automobilį, bent jau taip iš įvikio vietos šneka.",0,112,4
Delfi,81575960,30/03/2014 12:16:36,64399100,29/03/2014 08:43:00,78.61.33.77,Klaipeda,"Tai kokiais greiciais Utenos mieste vazineja ??? Visada sakiau,kad piemenim reik ribot varikliu galingumus",0,402,38
Delfi,81575962,30/03/2014 12:16:36,64399100,29/03/2014 08:43:00,178.19.20.161,...,Užuojauta artimiesiems ;/,0,324,6
Delfi,81575980,30/03/2014 12:16:36,64399100,29/03/2014 08:44:00,78.31.225.81,Diaina,"Didžiausia užuojauta artimiesiems, draugams, kolegoms...
Liūdna...",0,238,4
Delfi,81576022,30/03/2014 12:16:36,64399100,29/03/2014 08:46:00,212.12.205.82,to jonas,"teisingai Jonai, visko pasitaiko, sekantys mudu galim būti...duokim laisvą kapišonuotom bezdžionėm su iš rankų neiškrentančiais mobiliakais....",0,281,7
Delfi,81576024,30/03/2014 12:16:26,64399102,29/03/2014 08:46:00,88.216.10.92,ir,kur ziuri musu krasto apsauga gi tie ginklai gali buti nukreipti pries lietuva,0,29,2
Delfi,81576054,30/03/2014 12:16:36,64399100,29/03/2014 08:47:00,78.58.51.52,bbd,"Tai antras auto buvo koks gerokai papuvęs &quot;japonas&quot;, kaip suprantu?..",0,4,51
Delfi,81576060,30/03/2014 12:16:26,64399102,29/03/2014 08:47:00,90.134.135.84,va,"va turi bet ne oficialiai, be Obamos pritarimo... o jie tai klaunai, neusmirst reikia, jiem reikia cyrko ir ko didesnio.",81575924,15,4
Delfi,81576086,30/03/2014 12:16:36,64399100,29/03/2014 08:48:00,95.83.253.123,mindaugas,"Is straipsnio aisku, kad niekas neaisku. Labai jau issamiai ir begalo daug informacijos...Uzuojauta artimiesiems",0,81,11
Delfi,81576110,30/03/2014 12:16:36,64399100,29/03/2014 08:49:00,188.69.198.206,Vaje,"Kai paamatau kaip policija gaudo masinas Vilniuje, tai nieko keisto jei bego ir tokia pabaiga:(",0,15,54
Delfi,81576122,30/03/2014 12:16:36,64399100,29/03/2014 08:49:00,212.93.105.50,rytas,"stebejau siryt graziai tekancia saule, pamaniau, kad bus puikus savaitgalis, taciau, pasirodo ne viesiems :( Uzuojauta artimiesiems. Bukim atsakingi, saugokim vieni kitus!",0,641,6
Delfi,81576168,30/03/2014 12:16:36,64399100,29/03/2014 08:51:00,88.216.25.216,ei,Daugiau info...,0,8,4
Delfi,81576212,30/03/2014 12:16:36,64399100,29/03/2014 08:53:00,193.219.152.27,KIESA,kaip savatgalis taip tokia tragedija ar kokia panasi kada visi nustos lakstyti ir gerti prie vairo?,0,11,1
Delfi,81576232,30/03/2014 12:16:36,64399100,29/03/2014 08:53:00,84.15.181.158,Elektrenai . tai vis lakstot ?,"Na lakstykit,lakstykit-prisiskubėsit,pris ilakstysit",0,10,3
Delfi,81576240,30/03/2014 12:16:36,64399100,29/03/2014 08:54:00,46.251.49.103,Utenoje,"Visi velkasi ant 30,atvaziavus is vilniaus tai daug nervu kainuoja ten vazinet :) kad nutiktu tokia avarija tai garantuotai turejo but 1 is 2 salygu.Arba girti pacanai bego nuo mentu,arba kokie vilnieciai prasileke :)",81575960,12,37
Delfi,81576250,30/03/2014 12:16:36,64399100,29/03/2014 08:54:00,84.15.177.83,SS,"Is vienos islipo patys,o kitoje 3 zuvo? Kaip cia taip?",0,12,15
Delfi,81576262,30/03/2014 12:16:36,64399100,29/03/2014 08:55:00,78.60.254.2,netoli,"audi viruotojui kalėjimas 100 proc., jei su 5 metais išsisuks tai jam pasiseks.",0,26,5
Delfi,81576270,30/03/2014 12:17:05,64394892,29/03/2014 08:55:00,84.15.181.158,berečių neda*ystų,sapalionės,0,5,7
Delfi,81576298,30/03/2014 12:16:26,64399102,29/03/2014 08:56:00,92.18.113.191,Tiesa,"Šitam beždžionei visai protas susimaišė , jisai ruošiasi tiekti ginklus savo priešams ten jau visos valstybes pripažino kad sukilėlių pusėje kovoja teroristinės grupuotes kaip alkajedos teroristai N1 Amerikos priešai kurie susprogdino dvynius iš 9/11 , hasbulos , ( paskelbti Amerikos priešais ) jam bet kokia kaina reikia : - naftos, neleisti rusam daryti įtakos , finansuoti savo karine pramone , ir jam nusispjauti ant žmonių nuomones ir givybes ir ant teis vingių normų",0,47,5
Delfi,81576328,30/03/2014 12:16:26,64399102,29/03/2014 08:58:00,78.61.216.147,"valio, lai kraujas liejasi laisvai!!!",Dar vieną Taikos premiją Obamai!!!,0,69,6
Delfi,81576332,30/03/2014 12:16:36,64399100,29/03/2014 08:58:00,88.216.25.216,to Ss,Nu nevisi išlipo ir iš tos vienos,0,5,1
Delfi,81576336,30/03/2014 12:16:36,64399100,29/03/2014 08:58:00,86.31.229.166,Bahis,Maziau gerti reike ir vaidinti keliu gaideliais,0,52,1
Delfi,81576344,30/03/2014 12:16:36,64399100,29/03/2014 08:58:00,78.58.65.97,ytariu,Buvo soninis smugis ir greitis.,0,42,0
Delfi,81576362,30/03/2014 12:16:36,64399100,29/03/2014 08:59:00,78.60.254.2,netoli,"Nereguliuojamoje sankryžoje į taxi šoną režėsi audi, kuri bėgo nuo policijos apie 80-90 km/h. Iš taxo nieko nebeliko, o audi sutrumbėjo panašiai iki pusė kapoto. Visi žuvę iš taxi automobilio.",81576250,52,0
Delfi,81576398,30/03/2014 12:16:36,64399100,29/03/2014 09:01:00,78.61.98.83,Rusiškas vairavimo stilius,yra visų tų tragedijų priežastis,0,10,24
Delfi,81576400,30/03/2014 12:16:26,64399102,29/03/2014 09:01:00,95.173.32.135,as,"Teisingai, tegu šalis pati tvarkosi. Ten kaip Rusijoje Putinas. Kai bus ginkluoti sukileliai tai jaučiu ir linkiu, kad greičiau baigtusi tų visų &quot;karaliukų&quot; viešpatavimai. Tikiiuosi, kad ir Putinui ateis galas. Juk Rusijos žmonės ilgai nekentės.",0,4,37
Delfi,81576410,30/03/2014 12:16:36,64399100,29/03/2014 09:01:00,80.213.211.134,.,"as jiems sakiau pries kelis menesius ir tai buvo beprasmiska, dabar sakau jums - mokykites is kitu klaidu, nors zinau kad sakyt irgi yra beprasmiska, rytoj jusu eile pas sv petra... toks gyvenimas.. jie manim netikejo todel taip ir nutiko, zinau, jus irgi manim netikit, gaila bet ryt jusu nebebus....",0,10,10
Delfi,81576412,30/03/2014 12:16:26,64399102,29/03/2014 09:01:00,77.221.76.8,"įdomu,",o kada RF ginklus pradės tiekti JAV rezervatuose uždarytiems indėnams? galėtų ir JAV mafijai &quot;po pigiąją&quot; ginklų pasiūlyti...,0,41,4
Delfi,81576420,30/03/2014 12:16:12,64399114,29/03/2014 09:02:00,89.117.34.182,wee,Putinas- nindze mutantas,0,34,30
Delfi,81576424,30/03/2014 12:16:36,64399100,29/03/2014 09:02:00,91.187.191.11,nu,"užuojautos...jei straipsnyje būtų paminėtas BMW,tai komentarų jau būtų kokie 500....",0,5,25
Delfi,81576432,30/03/2014 12:16:36,64399100,29/03/2014 09:02:00,212.117.14.173,Aciū,Uz issamu str.,0,4,12
Delfi,81576440,30/03/2014 12:16:26,64399102,29/03/2014 09:03:00,92.18.113.191,Xxxl,Pasaulis pripažinęs kad ten teroristai kovojama ar jam blogai ar jam nususikti ant viso pasaulio ir ant žmonių gyvybių,0,39,3
